sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
20796,5,3,,32,0,0,0,0,10,13,0,0,0,4,1,2
43907,11,2,,48,1,1,0,1,25,15,0,0,0,4,1,3
37049,9,1,ENGR,31,1,0,0,0,5,16,1,0,0,4,1,3
31512,9,3,,45,1,1,0,0,9,12,0,0,0,4,1,3
18907,5,5,,23,1,0,0,0,2,15,1,0,0,4,1,2
45430,12,2,,43,1,1,0,0,3,12,1,0,0,4,1,3
35818,11,3,ENGR,38,1,0,0,0,11,14,0,0,0,4,1,3
23419,7,2,,31,1,0,0,0,3,12,,1,0,4,1,2
27321,7,3,,48,0,1,0,0,19,14,,1,0,5,0,2
34051,8,4,,38,0,0,0,0,3,12,0,0,0,5,0,2
31262,9,1,PSYCH,27,0,0,0,0,3,16,0,0,0,5,0,3
34662,11,1,HEALT,28,0,0,0,0,2,18,1,0,0,5,0,3
39009,11,1,BUSAD,32,0,0,0,0,9,14,0,0,0,5,0,3
34662,11,2,SOC,28,0,0,0,0,5,16,,1,0,5,0,3
45064,12,1,ENGR,28,0,0,0,0,3,16,0,0,0,5,0,3
64928,13,2,BIO,56,0,0,0,0,34,16,0,0,0,5,0,4
44802,12,2,SOC,30,0,0,0,0,8,16,0,0,0,5,0,3
21395,5,4,,28,0,0,0,0,3,12,0,0,0,5,0,2
26572,6,4,,47,0,0,0,0,22,12,0,0,0,5,0,2
23883,6,3,,42,0,0,0,0,10,12,0,0,0,5,0,2
28622,7,2,,41,0,0,0,0,15,12,0,0,0,5,0,2
20840,4,4,,36,0,0,0,0,5,13,0,0,0,5,0,1
56101,13,2,,61,0,0,0,0,28,13,,1,1,5,0,4
36313,11,2,SOC,39,0,0,0,0,6,16,0,0,0,5,0,3
21426,5,4,BUSAD,45,0,0,0,1,14,16,0,0,0,5,0,2
42928,12,2,SOC,42,0,0,0,0,12,18,1,0,0,5,0,3
29396,8,3,,35,0,0,0,0,15,12,0,0,0,5,0,2
35818,11,1,SOC,39,0,0,0,0,10,16,0,0,0,5,0,3
31753,9,3,PSYCH,41,0,0,0,0,6,16,0,0,0,5,0,3
39285,11,3,,37,0,0,0,0,16,13,0,0,1,5,0,3
27618,7,3,LANG,47,0,0,0,0,13,16,0,0,0,5,0,2
68294,14,2,,56,0,0,0,0,38,12,,1,1,5,0,4
25210,6,3,,55,0,0,0,0,13,12,1,0,1,5,0,2
76733,14,2,ARCHI,47,0,0,0,1,19,18,1,0,0,5,0,4
48466,12,1,,52,0,0,0,0,19,12,0,0,0,5,0,3
33421,9,3,BUSAD,43,0,0,0,0,21,14,,1,0,5,0,3
41596,11,2,,46,0,0,0,0,25,14,0,0,0,5,0,3
22686,5,4,,41,0,1,0,0,12,13,0,0,0,5,0,2
26691,6,3,,55,0,0,0,0,16,12,0,0,0,5,0,2
44972,12,2,,39,0,0,0,0,19,12,1,0,0,5,0,3
23739,5,4,,47,0,0,0,0,29,12,0,0,0,5,0,2
35254,10,3,,55,0,0,0,0,22,12,1,0,0,5,0,3
27227,6,4,,70,0,0,0,0,14,14,0,0,0,5,0,2
47873,12,1,MATHS,36,0,0,0,0,12,16,0,0,0,5,0,3
50541,13,1,PSYCH,33,0,0,0,0,3,20,0,0,0,5,0,4
50774,12,2,PUBAF,43,0,0,0,0,20,18,0,0,0,5,0,3
27816,7,3,,46,0,0,0,0,20,12,0,0,0,5,0,2
18907,5,3,,36,0,0,0,0,2,12,1,0,0,5,0,2
34027,9,5,,35,0,0,0,0,5,12,0,0,0,5,0,3
22006,4,4,BUSAD,43,0,1,0,0,20,13,0,0,0,5,0,1
28101,7,2,,50,0,0,0,0,19,12,0,0,0,5,0,2
25756,6,4,,33,0,0,0,0,13,12,,1,0,5,0,2
26894,5,3,HEALT,40,0,0,0,0,11,13,0,0,0,5,0,2
29662,7,4,,52,0,0,0,0,29,13,0,0,0,5,0,2
